student_name,age,class_level,favorite_topics,weak_topics,learning_style,study_hours,goals,motivation,assessment_feedback,preferred_difficulty,attention_span,previous_grades,extracurricular,career_interest
Avery Smith,16,11th grade,"music, art",mathematics,practical problem-solving approach,15,"improve grades in mathematics, excel in music",fascinated by technology and innovation,"good at connecting concepts, but should work on time management",easy,88,"art: A-, mathematics: C+",science olympiad,research
Alex Smith,17,12th grade,"art, biology",mathematics,mixed visual and auditory,17,"improve grades in mathematics, excel in art",interested in medical career,"excellent understanding of biology, but should work on time management",challenging,51,"art: B+, mathematics: C+",chess club,technology
Alex Brown,15,10th grade,"computer science, physics, art, mathematics","music, history, chemistry",visual learning with diagrams and charts,23,"improve grades in history, excel in physics",want to help others through science,"demonstrates creativity in problem solving, but needs more practice with history",medium,55,"mathematics: A, music: C",art club,technology
Quinn Wilson,17,12th grade,"history, physics, biology","geography, computer science",practical problem-solving approach,22,"improve grades in geography, excel in physics",want to become an engineer,"good at connecting concepts, but needs more practice with computer science",medium,48,"biology: A-, geography: C+",chess club,research
Casey Taylor,17,12th grade,"physics, computer science, literature, music","mathematics, art, chemistry",mixed visual and auditory,12,"improve grades in mathematics, excel in computer science",enjoy understanding how things work,"shows strong analytical thinking, but needs more practice with chemistry",medium,52,"music: B+, art: C",debate team,engineering
Quinn Miller,16,11th grade,"music, history, mathematics, chemistry","biology, geography, literature",practical problem-solving approach,12,"improve grades in geography, excel in chemistry",fascinated by technology and innovation,"excellent understanding of chemistry, but needs more practice with literature",medium,29,"chemistry: A, biology: C+",art club,engineering
Quinn Brown,15,10th grade,"geography, physics",art,practical problem-solving approach,21,"improve grades in art, excel in geography",fascinated by technology and innovation,"excellent understanding of physics, but could improve explanation clarity",easy,75,"physics: B+, art: C",art club,research
Morgan Taylor,18,13th grade,"chemistry, music, computer science, geography","physics, history, biology",reading and writing focused,11,"improve grades in history, excel in music",interested in medical career,"good at connecting concepts, but needs to show more work in calculations",easy,39,"geography: A, physics: C",debate team,medicine
Jordan Miller,14,9th grade,"geography, literature, physics, mathematics","history, art, biology",practical problem-solving approach,22,"improve grades in history, excel in physics",fascinated by technology and innovation,"good at connecting concepts, but could improve explanation clarity",medium,59,"physics: A-, biology: C",art club,education
Morgan Brown,15,10th grade,"music, chemistry",computer science,kinesthetic hands-on learning,23,"improve grades in computer science, excel in music",want to help others through science,"good at connecting concepts, but needs to show more work in calculations",easy,41,"music: A, computer science: C+",art club,medicine
Taylor Taylor,15,10th grade,"geography, mathematics","chemistry, physics",reading and writing focused,20,"improve grades in physics, excel in mathematics",want to help others through science,"demonstrates creativity in problem solving, but needs to show more work in calculations",medium,80,"mathematics: B+, physics: C",art club,engineering
Quinn Taylor,18,13th grade,"chemistry, computer science","biology, art, literature",practical problem-solving approach,13,"improve grades in literature, excel in chemistry",want to help others through science,"good at connecting concepts, but should work on time management",easy,66,"computer science: A-, literature: B-",chess club,medicine
Riley Davis,18,13th grade,"biology, history, literature, physics","mathematics, chemistry, geography",visual learning with diagrams and charts,23,"improve grades in chemistry, excel in literature",want to become an engineer,"excellent understanding of literature, but could improve explanation clarity",easy,55,"physics: A, chemistry: B-",science olympiad,research
Jordan Johnson,14,9th grade,"mathematics, geography, art, biology",literature,kinesthetic hands-on learning,5,"improve grades in literature, excel in geography",interested in medical career,"excellent understanding of mathematics, but needs more practice with literature",medium,27,"art: B+, literature: C",debate team,education
Avery Johnson,14,9th grade,"literature, chemistry, music","mathematics, geography, computer science",visual learning with diagrams and charts,11,"improve grades in computer science, excel in literature",fascinated by technology and innovation,"shows strong analytical thinking, but needs to show more work in calculations",easy,55,"music: B+, mathematics: B-",chess club,medicine
Quinn Smith,14,9th grade,"computer science, art, literature",chemistry,mixed visual and auditory,19,"improve grades in chemistry, excel in computer science",want to become an engineer,"shows strong analytical thinking, but could improve explanation clarity",challenging,22,"computer science: A, chemistry: B-",science olympiad,technology
Avery Wilson,14,9th grade,"biology, computer science, music, literature","physics, chemistry, mathematics",auditory learning through discussions,13,"improve grades in physics, excel in music",enjoy understanding how things work,"good at connecting concepts, but should work on time management",easy,57,"music: A-, mathematics: C",robotics club,technology
Avery Brown,16,11th grade,"literature, music, geography, history","art, physics, mathematics",mixed visual and auditory,23,"improve grades in art, excel in history",love solving complex problems,"good at connecting concepts, but could improve explanation clarity",easy,85,"music: A, physics: C",science olympiad,engineering
Alex Miller,14,9th grade,"chemistry, geography, music, biology","computer science, art, literature",practical problem-solving approach,8,"improve grades in literature, excel in music",want to become an engineer,"demonstrates creativity in problem solving, but could improve explanation clarity",medium,32,"geography: A-, art: C+",chess club,education
Quinn Davis,15,10th grade,"geography, music","history, literature, biology",kinesthetic hands-on learning,16,"improve grades in biology, excel in music",enjoy understanding how things work,"excellent understanding of music, but should work on time management",challenging,33,"music: A-, literature: B-",chess club,education
Taylor Brown,14,9th grade,"art, chemistry","computer science, literature",practical problem-solving approach,15,"improve grades in computer science, excel in art",love solving complex problems,"demonstrates creativity in problem solving, but needs to show more work in calculations",easy,78,"art: A, computer science: C+",science olympiad,research
Casey Brown,14,9th grade,"biology, music","physics, history",practical problem-solving approach,22,"improve grades in history, excel in biology",enjoy understanding how things work,"excellent understanding of biology, but needs to show more work in calculations",challenging,70,"biology: B+, history: C",chess club,medicine
Morgan Moore,14,9th grade,"chemistry, literature, music","art, biology",mixed visual and auditory,17,"improve grades in art, excel in literature",enjoy understanding how things work,"shows strong analytical thinking, but should work on time management",easy,67,"literature: B+, biology: C+",art club,education
Casey Wilson,17,12th grade,"biology, chemistry","literature, mathematics",reading and writing focused,7,"improve grades in mathematics, excel in chemistry",fascinated by technology and innovation,"shows strong analytical thinking, but could improve explanation clarity",medium,69,"chemistry: A-, literature: C",debate team,medicine
